ID	Primer	Tissu
NGSDEEP_DL1_S1_L001	1	DL1
NGSDEEP_S_S2_L001	2	S
NGSDEEP_PB_S3_L001	3	PB
NGSDEEP_CRC_S4_L001	4	CRC
NGSDEEP_RB1_S5_L001	5	RB
NGSDEEP_RB2_S6_L001	6	RB
NGSDEEP_Pen_S7_L001	7	Pen
NGSDEEP_Skin1_S8_L001	8	SkinRCA
NGSDEEP_Skin2_S9_L001	9	SkinRCA
NGSDEEP_Skin3_S10_L001	10	SkinRCA
NGSDEEP_DL2A1_S11_L001	11	DL2
NGSDEEP_DL2B1_S12_L001	12	DL2
NGSDEEP_DL2C1_S13_L001	13	DL2
NGSDEEP_H-A1_S14_L001	14	Ahead
NGSDEEP_H-A2_S15_L001	15	Ahead
NGSDEEP_EB-U-To_S16_L001	16	Eb_U_To
NGSDEEP_Ov_S17_L001	17	Ov
NGSDEEP_BCC_S18_L001	18	BCC
NGSDEEP_DL2A2_S19_L001	19	DL2
NGSDEEP_DL2A3_S20_L001	20	DL2
NGSDEEP_DL2B2_S21_L001	21	DL2
NGSDEEP_DL2B3_S22_L001	22	DL2
NGSDEEP_DL2C2_S23_L001	23	DL2
NGSDEEP_DL2C3_S24_L001	24	DL2
